rapportage,score
Vandaag voelde ik me goed, geen pijn of koorts.,-3
Ik heb last van hoofdpijn en voelde me erg moe.,1
Veel koorts vandaag, mijn lichaam doet pijn.,18
Een goede dag, ik had geen klachten.,-3
Erge pijn en koorts vandaag, voelde me verschrikkelijk.,18
Ik was de hele dag moe en had last van mijn rug.,10
Voelde me energiek vandaag, kon veel doen zonder problemen.,-4
Ik had een beetje hoofdpijn, maar verder ging het goed.,2
Vandaag erg duizelig en misselijk, moeilijk om iets te doen.,13
Ik had vandaag geen klachten, voelde me fit en gezond.,-4
Hele dag last van buikpijn en heb bijna niet kunnen eten.,16
Een rustige dag zonder problemen, voelde me ontspannen.,-3
Vanochtend last van rillingen, maar het ging beter in de middag.,7
Zeer vermoeiend, kon niet veel doen door mijn rugpijn.,10
Voelde me positief, had geen last van klachten.,-4
Vandaag was het zwaar, voelde me heel vermoeid en misselijk.,14
Ik heb vandaag genoten van een wandeling, voelde me gezond.,-4
Voelde me onrustig en had moeite om in slaap te vallen.,7
Hoofdpijn en koorts, het was moeilijk om op te staan.,16
Een zeer goede dag, ik was energiek en kon zonder problemen werken.,-4
Vandaag erg misselijk, heb de hele dag in bed gelegen.,13
Lichte vermoeidheid, maar over het algemeen voelde ik me goed.,-2
Hele dag last van kortademigheid en duizeligheid.,15
Voelde me emotioneel en erg gestrest vandaag.,8
Een heerlijke dag zonder klachten, ik had veel energie.,-4
Erg veel last van migraine, ik kon niets doen vandaag.,14
Voelde me kalm en ontspannen, het was een goede dag.,-3
Veel hoesten en rillingen, ik ben de hele dag thuis gebleven.,16
Slecht geslapen, voelde me daardoor de hele dag futloos.,10
Kon goed ademen en had geen last van pijn, een goede dag.,-3
Veel last van rugpijn, het was een zware dag.,10
Voelde me vandaag weer energiek en kon goed bewegen.,-4
De hele dag benauwd en hoofdpijn, het was moeilijk om iets te doen.,14
Het ging redelijk goed vandaag, had maar een beetje pijn.,-2
